SL. For reference,Year,Season,Nest Code,Well Code,Depth and Color (to be used in plot and analysis),COLOR assigned (FOUR Color) FINAL 2013,Lat,Lon,Temp,WD,EC,pH,As,Mn,Fe,Ca,Q1,Q2,Q3,Q4,Q5,Q9,GWQI,GWQC
213,2010,0,N10,P5,Shallow - Black,BLACK,23.4118,90.6394,27.2,51.8134715,862,6.9,6.2527,0.0927,2.402,53.5195,215.5,-20,62.52747,92.74997,800.674,26.75975,265.26,Very Poor
215,2011,0,N10,P5,Shallow - OffWhite,OFF-WHITE,23.4118,90.6394,28.7,70.10057909,784,6.8,5.6,0.0886,2.1252,49.2994,196,-40,56,88.60909,708.3856667,24.64969,239.3,Very Poor
217,2010,0,N10,P6,Shallow - Black,BLACK,23.4118,90.6394,27.2,51.8134715,676,7.2,26.4371,0.1287,0.8067,23.111,169,40,264.371,128.6735,268.8871,11.55549,163.2,Poor
220,2010,0,N11,P1,Shallow - Black,BLACK,23.34872,90.64236,26.8,86.86376105,430,6.8,330.1821,1.4548,9.6448,91.6589,107.5,-40,3301.821,1454.836,3214.916667,45.829465,1885.21,Not Sustainable
222,2011,0,N11,P1,Deep,BLACK,23.34872,90.64236,27.6,239.6341463,658,6.84,351.3167,1.2668,10.0748,71.3281,164.5,-32,3513.167,1266.833,3358.28,35.66403,1783.55,Not Sustainable
225,2010,0,N11,P2,Shallow - Black,BLACK,23.34872,90.64236,26.7,86.86376105,459,6.8,70.5863,0.3513,8.0335,51.9953,114.75,-40,705.8632,351.2867,2677.842667,25.997645,921.21,Not Sustainable
227,2010,0,N11,P5,Deep,BLACK,23.34872,90.64236,27,239.6341463,388,6.8,7.8624,0.1197,2.6166,32.7832,97,-40,78.62355,119.679,872.2046667,16.39159,302.56,Not Sustainable
229,2011,0,N11,P5,Intermediate,WHITE,23.34872,90.64236,29,94.81707317,456,6.82,5.6,0.1097,2.0613,29.805,114,-36,56,109.7473,687.0943333,14.90248,249.66,Very Poor
231,2011,0,N11,P6,Intermediate,WHITE,23.34872,90.64236,28.1,94.81707317,657,6.81,15.6956,0.12,0.9267,27.2102,164.25,-38,156.9558,120.0453,308.8968667,13.60509,165.11,Poor
233,2009,0,N12,P1,Shallow - Black,BLACK,23.43352,90.67261,27,16.76318196,540,7.1,249.8823,0.9042,7.5257,87.5526,135,20,2498.823,904.2306519,2508.554525,43.77629297,1300.8,Not Sustainable
236,2009,0,N12,P2,Shallow - Black,BLACK,23.43352,90.67261,26.9,16.76318196,1680,7,473.686,0.1901,12.4364,172.3542,420,0,4736.86,190.1426086,4145.480143,86.17707813,1193.06,Not Sustainable
238,2010,0,N12,P2,Shallow - Black,BLACK,23.43352,90.67261,26.6,30.47851265,1003,6.7,434.2371,0.1136,10.068,158.3954,250.75,-60,4342.3712,113.5721,3355.986667,79.19769563,939.25,Not Sustainable
240,2011,0,N12,P2,Shallow - Black,BLACK,23.43352,90.67261,28.2,56.3852484,1297,6.83,420.1469,0.0977,11.1743,134.6833,324.25,-34,4201.469,97.6864,3724.753333,67.34165,1017.33,Not Sustainable
242,2009,0,N12,P3,Shallow - Black,BLACK,23.43352,90.67261,27.6,30.47851265,6170,6.7,43.9659,0.1476,13.3165,80.1172,1542.5,-60,439.6592,147.5724792,4438.821615,40.05858984,1201.68,Not Sustainable
